,Name_sesion_es,Lab,Hw,Project,Exam,Ntipo,Name_lab_es,Name_project_es,Sesion,Name_book,Book_url_values,Presentacion,Video,Demostracion,Seccion_lecturas,Tipo_lab,Tipo_hw,Tipo_exam,Tipo_project
0,Introducción,Lab01,0,0,0,1,Expresiones,0,1,1. Data Science,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,1,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab01/lab01.ipynb,,,
1,Introducción,Lab01,0,0,0,1,Expresiones,0,1,1.1. Introduction,https://inferentialthinking.com/chapters/01/1/intro.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,1.1,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab01/lab01.ipynb,,,
2,Introducción,Lab01,0,0,0,1,Expresiones,0,1,1.2. Why Data Science?,https://inferentialthinking.com/chapters/01/2/why-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,1.2,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab01/lab01.ipynb,,,
3,Introducción,Lab01,0,0,0,1,Expresiones,0,1,1.3. Plotting the Classics,https://inferentialthinking.com/chapters/01/3/Plotting_the_Classics.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,1.3,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab01/lab01.ipynb,,,
4,Introducción,Lab01,0,0,0,1,Expresiones,0,1,1.3.1. Literary Characters,https://inferentialthinking.com/chapters/01/3/1/Literary_Characters.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,1.3.1,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab01/lab01.ipynb,,,
5,Introducción,Lab01,0,0,0,1,Expresiones,0,1,1.3.2. Another Kind of Character,https://inferentialthinking.com/chapters/01/3/2/Another_Kind_Of_Character.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,1.3.2,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab01/lab01.ipynb,,,
6,Causa y efecto,0,hw01,0,0,0,0,0,2,2. Causality and Experiments,https://inferentialthinking.com/chapters/02/causality-and-experiments.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,2,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw01/hw01.ipynb,,
7,Causa y efecto,0,hw01,0,0,0,0,0,2,2.1. John Snow and the Broad Street Pump,https://inferentialthinking.com/chapters/02/1/observation-and-visualization-john-snow-and-the-broad-street-pump.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,2.1,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw01/hw01.ipynb,,
8,Causa y efecto,0,hw01,0,0,0,0,0,2,2.2. Snow’s “Grand Experiment”,https://inferentialthinking.com/chapters/02/2/snow-s-grand-experiment.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,2.2,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw01/hw01.ipynb,,
9,Causa y efecto,0,hw01,0,0,0,0,0,2,2.3. Establishing Causality,https://inferentialthinking.com/chapters/02/3/establishing-causality.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,2.3,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw01/hw01.ipynb,,
10,Causa y efecto,0,hw01,0,0,0,0,0,2,2.4. Randomization,https://inferentialthinking.com/chapters/02/4/randomization.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,2.4,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw01/hw01.ipynb,,
